Concrete,{'Limestone': 3},{'Concrete': 1},
Alternate: Caterium Computer,"{'Circuit Board': 7, 'Quickwire': 28, 'Rubber': 12}",{'Computer': 1},
Turbo Motor,"{'Heat Sink': 4, 'Radio Control Unit': 2, 'Motor': 4, 'Rubber': 24}",{'Turbo Motor': 1},
Radio Control Unit,"{'Heat Sink': 4, 'Rubber': 16, 'Crystal Oscillator': 1, 'Computer': 1}",{'Radio Control Unit': 1},
Fuel Generator,"{'Computer': 5, 'Heavy Modular Frame': 10, 'Motor': 15, 'Rubber': 50, 'Quickwire': 50}",{'Fuel Generator': 1},
Iodine Infused Filter,"{'Gas Filter': 1, 'Quickwire': 8, 'Rubber': 2}",{'Iodine Infused Filter': 1},
Power Pole Mk.3,"{'High-Speed Connector': 2, 'Steel Pipe': 2, 'Rubber': 3}",{'Power Pole Mk.3': 1},
Unpackage Water,{'Packaged Water': 2},"{'Water': 2, 'Empty Canister': 2}",
Miner Mk.2,"{'Portable Miner': 2, 'Encased Industrial Beam': 10, 'Steel Pipe': 20, 'Modular Frame': 10}",{'Miner Mk.2': 1},
Miner Mk.3,"{'Portable Miner': 3, 'Heavy Modular Frame': 4, 'Steel Pipe': 20, 'Turbo Motor': 5, 'Computer': 5}",{'Miner Mk.3': 1},
Hyper Tube Entrance,"{'Encased Industrial Beam': 4, 'Rotor': 4, 'Steel Pipe': 10}",{'Hyper Tube Entrance': 1},
Industrial Storage Container,"{'Steel Beam': 20, 'Steel Pipe': 20}",{'Industrial Storage Container': 1},
Railway,"{'Steel Pipe': 1, 'Steel Beam': 1}",{'Railway': 1},
Freight Car,"{'Heavy Modular Frame': 4, 'Steel Pipe': 10}",{'Freight Car': 1},
Electric Locomotive,"{'Heavy Modular Frame': 5, 'Motor': 10, 'Steel Pipe': 15, 'Computer': 5, 'Beacon': 5}",{'Electric Locomotive': 1},
Double Wall Outlet Mk.3,"{'High-Speed Connector': 6, 'Steel Pipe': 6}",{'Double Wall Outlet Mk.3': 1},
Wall Outlet Mk.3,"{'High-Speed Connector': 3, 'Steel Pipe': 3}",{'Wall Outlet Mk.3': 1},
Versatile Framework,"{'Modular Frame': 1, 'Steel Beam': 12}",{'Versatile Framework': 2},
Alternate: Steel Screw,{'Steel Beam': 1},{'Screw': 52},
Conveyor Belt Mk.3,{'Steel Beam': 1},{'Conveyor Belt Mk.3': 1},
Conveyor Lift Mk.3,{'Steel Beam': 2},{'Conveyor Lift Mk.3': 1},
Nuclear Fuel Rod,"{'Encased Uranium Cell': 25, 'Encased Industrial Beam': 3, 'Electromagnetic Control Rod': 5}",{'Nuclear Fuel Rod': 1},
Conveyor Belt Mk.4,{'Encased Industrial Beam': 1},{'Conveyor Belt Mk.4': 1},
Conveyor Lift Mk.4,{'Encased Industrial Beam': 2},{'Conveyor Lift Mk.4': 1},
Alternate: Crystal Computer,"{'Circuit Board': 8, 'Crystal Oscillator': 3}",{'Computer': 3},
Alternate: Rigour Motor,"{'Rotor': 3, 'Stator': 3, 'Crystal Oscillator': 1}",{'Motor': 6},
Alternate: Nuclear Fuel Unit,"{'Encased Uranium Cell': 50, 'Electromagnetic Control Rod': 10, 'Crystal Oscillator': 3, 'Beacon': 6}",{'Nuclear Fuel Rod': 3},
Explorer,"{'Crystal Oscillator': 5, 'Motor': 5, 'Beacon': 15, 'Heavy Modular Frame': 5}",{'Explorer': 1},
Tractor,"{'Modular Frame': 5, 'Beacon': 5, 'Rotor': 10}",{'Tractor': 1},
Blade Runners,"{'Quickwire': 50, 'Modular Frame': 3, 'Rotor': 3}",{'Blade Runners': 1},
Adaptive Control Unit,"{'Automated Wiring': 15, 'Circuit Board': 10, 'Heavy Modular Frame': 2, 'Computer': 2}",{'Adaptive Control Unit': 2},
Programmable Splitter,"{'Heavy Modular Frame': 1, 'Motor': 1, 'Supercomputer': 1}",{'Programmable Splitter': 1},
Motor,"{'Rotor': 2, 'Stator': 2}",{'Motor': 1},
Alternate: Electromagnetic Connection Rod,"{'Stator': 10, 'High-Speed Connector': 5}",{'Electromagnetic Control Rod': 10},
Electromagnetic Control Rod,"{'Stator': 3, 'A.I. Limiter': 2}",{'Electromagnetic Control Rod': 2},
Alternate: Turbo Rigour Motor,"{'Motor': 7, 'Radio Control Unit': 5, 'A.I. Limiter': 9, 'Stator': 7}",{'Turbo Motor': 3},
Fabric,"{'Mycelia': 1, 'Biomass': 5}",{'Fabric': 1},
Alternate: Biocoal,{'Biomass': 5},{'Coal': 6},
Solid Biofuel,{'Biomass': 8},{'Solid Biofuel': 4},
Unpackage Oil,{'Packaged Oil': 2},"{'Crude Oil': 2, 'Empty Canister': 2}",
Unpackage Heavy Oil Residue,{'Packaged Heavy Oil Residue': 2},"{'Heavy Oil Residue': 2, 'Empty Canister': 2}",
Unpackage Fuel,{'Packaged Fuel': 2},"{'Fuel': 2, 'Empty Canister': 2}",
Unpackage Liquid Biofuel,{'Packaged Liquid Biofuel': 2},"{'Liquid Biofuel': 2, 'Empty Canister': 2}",
Unpackage Turbofuel,{'Packaged Turbofuel': 2},"{'Turbofuel': 2, 'Empty Canister': 2}",
